Timestamp,Description,Status,Basic_Event,System_Failure
2025-01-01 01:23:55.474701,PV solder bond failure detected,Active,BE11,True
2025-01-01 13:11:57.957361,Encapsulant fault detected,Active,BE16,True
2025-01-02 15:45:40.006797,Grounding system fault detected,Active,BE6,True
2025-01-02 21:01:13.538214,PV shading detected,Active,BE9,True
2025-01-03 01:16:47.933102,PV soiling detected,Active,BE8,True
2025-01-03 01:23:55.474701,PV solder bond failure detected,Cleared,BE11,True
2025-01-03 03:32:46.560958,PV solder bond failure detected,Active,BE11,True
2025-01-03 05:01:13.538214,PV shading detected,Cleared,BE9,True
2025-01-03 09:16:47.933102,PV soiling detected,Cleared,BE8,True
2025-01-03 13:11:57.957361,Encapsulant fault detected,Cleared,BE16,True
2025-01-03 15:45:40.006797,Grounding system fault detected,Cleared,BE6,True
2025-01-04 17:42:58.583706,Encapsulant fault detected,Active,BE16,True
2025-01-05 03:32:46.560958,PV solder bond failure detected,Cleared,BE11,True
2025-01-05 03:53:15.072955,PV solder bond failure detected,Active,BE11,True
2025-01-06 07:31:30.726075,PV cell breakage detected,Active,BE10,True
2025-01-06 17:42:58.583706,Encapsulant fault detected,Cleared,BE16,True
2025-01-07 03:53:15.072955,PV solder bond failure detected,Cleared,BE11,True
2025-01-08 07:31:30.726075,PV cell breakage detected,Cleared,BE10,False
2025-01-08 19:11:29.040623,PV interconnect fault detected,Active,BE5,True
2025-01-09 09:31:32.304992,Encapsulant fault detected,Active,BE16,True
2025-01-09 19:11:29.040623,PV interconnect fault detected,Cleared,BE5,True
2025-01-10 00:45:29.201028,PV interconnect fault detected,Active,BE5,True
2025-01-10 02:33:54.154734,PV solder bond failure detected,Active,BE11,True
2025-01-10 04:12:51.696999,PV cell breakage detected,Active,BE10,True
2025-01-11 00:45:29.201028,PV interconnect fault detected,Cleared,BE5,True
2025-01-11 09:31:32.304992,Encapsulant fault detected,Cleared,BE16,True
2025-01-12 02:33:54.154734,PV solder bond failure detected,Cleared,BE11,True
2025-01-12 04:12:51.696999,PV cell breakage detected,Cleared,BE10,False
2025-01-12 12:02:04.017834,PV cell breakage detected,Active,BE10,True
2025-01-12 19:46:28.648540,Encapsulant fault detected,Active,BE16,True
2025-01-14 12:02:04.017834,PV cell breakage detected,Cleared,BE10,True
2025-01-14 19:46:28.648540,Encapsulant fault detected,Cleared,BE16,False
2025-01-15 16:19:44.756786,PV soiling detected,Active,BE8,True
2025-01-16 00:19:44.756786,PV soiling detected,Cleared,BE8,False
2025-01-16 04:20:06.989592,Rack structure fault detected,Active,BE15,True
2025-01-16 22:38:58.632787,MCB 1 fault detected,Active,BE3,True
2025-01-17 05:43:31.556367,PV cell breakage detected,Active,BE10,True
2025-01-17 08:38:58.632787,MCB 1 fault detected,Cleared,BE3,True
2025-01-17 18:43:54.560607,PV interconnect fault detected,Active,BE5,True
2025-01-18 04:20:06.989592,Rack structure fault detected,Cleared,BE15,True
